ParticipantID,CouncilBudget,EnvSupport,TruthJustice,EquitableAccess,EasierTravel,WellBeing,AffordableLife,EconomySupport,Safety,CityDevelopment,MunicipalService,TaxEfficiency,OtherOption,DecreaseFunding,RedirectFunds,AlreadyFunded,UnequalBenefits,OtherGovFunding,NoLongerNeeded,ImproveEfficiency,NoLongerMeetsNeeds,OtherReason,ProvincialResp,FederalResp,LocalMPContact,FriendsContactMP,ProvincialConsultations,FederalConsultations,Petition,OtherAction,PostalCode,Age,Indigenous,Racialized,NewToCanada,HomelessExperience,LGBTQ,Disabled,LowIncome,NonEnglishFrench,NoneApply,OtherDemographics
21acfa642ebb1bbdff809435abfe4304,Parks and recreation,1,0,0,0,1,0,0,0,1,1,1,0,Animal services,1,0,1,0,0,0,0,1,Undecided / Don’t Know,Undecided / Don’t Know,0,0,1,1,0,0,M5H,30-54,0,0,0,0,0,0,0,0,1,0
970cde740df02888dae2e37558283399,Affordable housing and shelters,0,0,1,0,0,1,0,0,1,1,0,0,"Arts, culture, entertainment and attractions",1,0,1,0,0,0,0,0,Strongly agree,Strongly agree,0,0,0,0,1,0,M4B,30-54,0,0,0,0,0,0,0,0,1,0
18df5a26bf235fa8f7eb7aeb2d0d9605,Affordable housing and shelters,0,0,1,0,0,1,1,1,1,1,1,0,Enforcement of bylaws and licensing,0,1,1,0,0,0,0,0,Strongly agree,Strongly agree,1,1,1,1,1,0,M4E,30-54,0,0,0,0,0,0,0,0,1,0
dd9d52d00eeaa6975c1840a9829aff90,Employment and social services,0,0,0,0,1,1,1,1,0,1,0,0,Animal services,0,0,1,0,0,0,0,0,Strongly agree,Strongly agree,1,1,1,1,1,0,m4k,30-54,0,0,0,0,0,0,0,0,1,0
7a03357f2a5bedc61426c4411c4b9238,Long-term care homes and services for seniors,0,0,1,0,1,1,0,1,0,0,0,0,Animal services,1,0,1,0,0,0,0,0,Undecided / Don’t Know,Undecided / Don’t Know,0,0,0,0,0,1,L6C,65 and over,0,0,0,0,0,0,0,0,1,0
835745a0263ffb0a7b02fdcd00caddcf,Parks and recreation,1,0,1,0,1,0,0,0,0,1,1,1,Police,1,1,0,0,0,1,0,1,Strongly agree,Strongly agree,1,0,1,1,1,0,M5A,30-54,0,0,0,0,1,0,0,0,0,0
d6d8f5370846e5a2da135a2085c1c616,TTC and Wheel Trans,1,0,0,1,1,0,0,0,0,1,0,0,"Arts, culture, entertainment and attractions",1,1,0,0,0,0,0,0,Agree,Undecided / Don’t Know,0,0,1,1,0,0,M5H,20–29,0,0,0,0,0,0,0,0,1,0
cfa7b188a4bd37c9089fd1f95d696a2a,Paramedics,0,0,0,0,1,0,0,0,0,1,1,0,Parking,0,0,1,0,0,0,0,0,Strongly agree,Strongly agree,0,1,0,0,0,0,L6Z,20–29,0,1,0,0,0,0,0,0,0,0
9d760a8696ccbe80bb390acd9b742f62,Water treatment and distribution,0,0,0,0,0,0,0,0,0,1,0,0,Building permits and inspections,0,0,1,0,0,0,0,0,Agree,Agree,0,0,1,0,0,0,M3H,30-54,0,1,0,0,0,0,0,0,0,0
04cfadb49e3bea23c8c50360b509af00,Fire services,0,0,1,0,0,0,0,1,1,1,1,1,"Arts, culture, entertainment and attractions",1,1,1,1,0,0,0,0,Strongly agree,Disagree,0,0,0,0,1,0,M2m,30-54,0,0,0,0,0,0,0,0,1,0
ed96702db0ef4dab30edcc70ca77405d,TTC and Wheel Trans,0,0,1,1,0,0,1,1,1,1,0,0,Police,1,0,0,0,0,0,0,0,Strongly agree,Agree,0,1,0,0,1,0,M6B,20–29,0,0,0,0,0,0,0,0,1,0
71e8980ddc6ffeaa554f63a95278112b,Paramedics,0,0,0,0,0,0,0,0,0,1,0,0,"Community grants, partnerships and programs for youth",0,0,0,1,0,0,0,0,Agree,Agree,0,0,0,0,0,1,M3H,Prefer not to answer,0,1,0,0,0,0,0,1,0,0
26c2dc936a2822e1847542971a38017b,Enforcement of bylaws and licensing,0,0,0,0,0,0,1,0,0,0,0,0,"Community grants, partnerships and programs for youth",0,0,1,0,0,0,0,0,Undecided / Don’t Know,Undecided / Don’t Know,0,1,0,0,0,0,M5V,20–29,0,0,0,1,0,0,0,0,0,0
ae6887f445ba153263b67ccdfaaf713b,Parks and recreation,0,0,0,0,1,0,0,0,0,0,0,0,Police,1,0,0,0,0,0,0,1,Strongly agree,Strongly agree,0,0,0,0,1,1,M5A,55-64,1,0,0,0,0,0,0,0,0,0
